,degree,Freq
1,0,0.073375262
2,1,0.075471698
3,2,0.106918239
4,3,0.109014675
5,4,0.073375262
6,5,0.044025157
7,6,0.029350105
8,7,0.023060797
9,8,0.018867925
10,9,0.006289308
11,10,0.01048218
12,11,0.006289308
13,12,0.006289308
14,14,0.006289308
15,16,0.012578616
16,17,0.008385744
17,18,0.016771488
18,19,0.008385744
19,20,0.004192872
20,21,0.018867925
21,22,0.006289308
22,23,0.006289308
23,24,0.004192872
24,25,0.002096436
25,26,0.002096436
26,28,0.004192872
27,29,0.004192872
28,32,0.002096436
29,33,0.002096436
30,34,0.006289308
31,35,0.002096436
32,36,0.004192872
33,37,0.008385744
34,38,0.012578616
35,39,0.006289308
36,40,0.012578616
37,41,0.002096436
38,42,0.006289308
39,43,0.012578616
40,44,0.004192872
41,45,0.002096436
42,46,0.008385744
43,47,0.004192872
44,49,0.004192872
45,50,0.002096436
46,51,0.006289308
47,52,0.004192872
48,53,0.002096436
49,54,0.004192872
50,55,0.004192872
51,56,0.006289308
52,57,0.006289308
53,58,0.01048218
54,59,0.006289308
55,60,0.004192872
56,61,0.006289308
57,62,0.008385744
58,63,0.006289308
59,64,0.004192872
60,66,0.002096436
61,68,0.002096436
62,69,0.004192872
63,70,0.004192872
64,75,0.002096436
65,76,0.002096436
66,77,0.002096436
67,79,0.002096436
68,80,0.002096436
69,81,0.004192872
70,82,0.002096436
71,84,0.006289308
72,85,0.004192872
73,87,0.002096436
74,88,0.002096436
75,90,0.004192872
76,91,0.006289308
77,92,0.002096436
78,93,0.008385744
79,96,0.004192872
80,99,0.002096436
81,100,0.002096436
82,101,0.002096436
83,102,0.002096436
84,103,0.006289308
85,104,0.004192872
86,105,0.006289308
87,106,0.002096436
88,107,0.002096436
89,109,0.002096436
90,110,0.002096436
91,111,0.002096436
92,112,0.002096436
93,113,0.004192872
94,125,0.002096436
95,141,0.002096436
96,143,0.002096436
97,146,0.002096436
98,148,0.002096436
99,215,0.002096436
100,222,0.002096436
101,295,0.002096436
102,412,0.002096436
